text,label,id
Estou em SP no congresso de gerontecnologia . Apareça por aqui .,0,neutral
Essa dupla :coração_vermelho:,0,neutral
Queridos gênios ! :seta_top: :seta_top: :seta_top:,0,neutral
Bom demais :mãos_aplaudindo: :mãos_aplaudindo: :mãos_aplaudindo:,0,neutral
:rosto_sorridente_com_olhos_de_coração: :rosto_sorridente_com_olhos_de_coração: :rosto_sorridente_com_olhos_de_coração: onde curti mil vezes ? ?,0,neutral
"Lindos , inteligentes e queridos ! :coração_vermelho:",0,neutral
Grande admiração pelos dois ! :rosto_sorridente_com_olhos_de_coração:,0,neutral
Nosso presidente :coração_vermelho: ️e futuro presidente :mãos_juntas: :pele_clara: :mãos_juntas: :pele_clara: :mãos_juntas: :pele_clara: :coração_vermelho:,0,neutral
Queridos ! :mãos_aplaudindo: :mãos_aplaudindo: :mãos_aplaudindo: bom ver gente boa juntos ! !,0,neutral
Pô o Greg é sensacional . :naipe_de_copas:,0,neutral
Amo demais :rosto_sorridente_com_olhos_de_coração:,0,neutral
Show :polegar_para_cima: :polegar_para_cima:,0,neutral
"Eu amo , maravilhosos :rosto_sorridente_com_olhos_de_coração: :rosto_sorridente_com_olhos_de_coração: :coração_roxo:",0,neutral
Ô dupla !,0,neutral
Dois ícones,0,neutral
Ai sim,0,neutral
Assim coração num guenta :coração_roxo:,0,neutral
Adorooooo ! ! !,0,neutral
Geniossss amo ambos :coração_pulsante:,0,neutral
Dois maravilhosos ! :rosto_com_olhar_maravilhado: :rosto_sorridente_com_olhos_de_coração: :rosto_com_olhar_maravilhado:,0,neutral
Dois divos :coração_azul:,0,neutral
A dulpla ! ! !,0,neutral
Assisto onde ?,0,neutral
Maravilhosos dms,0,neutral
Dois lindos ! ! !,0,neutral
Aí meu :coração_vermelho: !,0,neutral
Vcs são perfeitos,0,neutral
muito amor,0,neutral
Amooooooo :rosto_sorridente_com_olhos_de_coração: :rosto_com_olhar_maravilhado: :rosto_sorridente_com_olhos_de_coração: :rosto_com_olhar_maravilhado: :rosto_sorridente_com_olhos_de_coração:,0,neutral
O único defeito dessa foto é que eu não posso abraçá-la,0,neutral
Estamos de seu lado grande ministra vc é um guerreira .,0,neutral
Isso é um tipo de violência contra a MULHER MINISTRA DAMARES . Tem q ser tomada uma providência .,0,neutral
Existe violencia com todo mundo e nao somente contra mulher ... violência eh violência !,0,neutral
Damares vc é o exemplo de pessoa e vida :mãos_aplaudindo: :mãos_aplaudindo: :mãos_aplaudindo: ém,0,neutral
É o que deve ser feito .,0,neutral
kkkk :rosto_chorando_de_rir: :rosto_chorando_de_rir: :rosto_chorando_de_rir: melhor coletiva d todas ... :rosto_chorando_de_rir: :rosto_chorando_de_rir: :rosto_chorando_de_rir:,0,neutral
:mãos_aplaudindo: :mãos_aplaudindo: :mãos_aplaudindo: Parabéns Ministra !,0,neutral
Nossa ministra damares ê de Deus orgulho da nação,0,neutral
Poise os movimentos principalmente os feministas não falaram nada .,0,neutral
Tamu juntas Damares . Tu é forte :mãos_para_cima:,0,neutral
Ministra Damares é a melhor . Isso tudo está acontecendo porque estamos vencendo .,0,neutral
Esse jornalista que faz essas perguntas é o mesmo que a ofendeu ?,0,neutral
Inacreditável ! ! ! :rosto_sonolento: :rosto_sonolento: :rosto_sonolento:,0,neutral
:mãos_aplaudindo: :mãos_aplaudindo: :mãos_aplaudindo: Parabéns ministra ! ! !,0,neutral
Deus é contigo ministra anjos estão guerreando por ti . :mãos_juntas: :mãos_juntas:,0,neutral
