text,id,label
Deus abençoe nossa nação ! !,neutral,0
Opa ... muito interessante,neutral,0
Maior setor de serviços do mundo ...,neutral,0
"Poderíamos te ter como nosso presidente . Se dependesse de mim , estaria lá . Infelizmente o povo fez essa lamentável escolha .",neutral,0
"Saudades , Haddad , saudades ...",neutral,0
Essa foto ficou bonita,neutral,0
Deputado racista verme fora lixos do psl,hateSpeech,2
"Sonhando a hora em que o barril de banha do inhonho botafogo , for condenado . Aí será a Vitória .",hateSpeech,2
Eles fazem isso pq o salário deles está garantido no fim do mês . Esses vagabundos estão contra o povo trabalhador . Intervenção militar já no congresso e no STF .,hateSpeech,2
Haddad :naipe_de_copas: :mãos_aplaudindo: :mãos_aplaudindo: :mãos_aplaudindo:,neutral,0
Entrevista foi show ! :coração_vermelho: :coração_vermelho: :coração_vermelho:,neutral,0
Globo só passa vergonha,offensive,1
Canalha comunista,hateSpeech,2
Esse lixo só vomita bosta ! Incapaz,offensive,1
"Não aguentoooo , amo vocês :coração_vermelho:",neutral,0
@USER vagabunda e se diz pastor tem nem vergonha,hateSpeech,2
Me arrepiei com esse discurso :rosto_surpreso:,neutral,0
O sul ja ta um lixo com o fascista do eduardo leite,hateSpeech,2
Viver do comunismo é triste ! ! Uma hora o dinheiro acaba e você vai ter que trabalhar ... ! :rosto_furioso: :soco: :pele_morena_escura: :rosto_sorridente_com_óculos_escuros: 🇧 🇷 :mãos_juntas: :pele_clara:,hateSpeech,2
Essa puta não tem dó da Venezuela ? ? ?,hateSpeech,2
"A esquerda além de tudo , é invejosa ! :rolando_no_chão_de_rir:",hateSpeech,2
"Eu tenho pena do Brasil , pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas . Inclusive essa hipócrita amiga da Dilma . :rosto_pensativo:",hateSpeech,2
O presidente está certo esta pirralha é ferramenta da esquerda no mundo .,hateSpeech,2
"Para de dá nojo tbm , vai trabalha , esquece dos filhos dele , mostra o que vc faz",offensive,1
"Falei e falo sempre , já passou da hora de dar um pau nesses esquerdistas .",hateSpeech,2
Chata pra caralho,offensive,1
Só pensando no chilique dos sulistas facistas que lá são maioria . :rosto_chorando_de_rir: :mãos_aplaudindo: :mãos_aplaudindo:,neutral,0
"Vai faltar cadeia para o pessoal do Pt , Psol , e outros :rosto_chorando_de_rir: :rosto_chorando_de_rir: :rosto_chorando_de_rir:",hateSpeech,2
"Linda , esplêndida . :cone_de_festa: :mão_acenando:",neutral,0
Então já pode prender o HADDAD NÉ !,offensive,1
Sabemos que são . Os mesmos canalhas de sempre .,offensive,1
Palavras de moleque,offensive,1
Essa greta tem que caçar o que fazer . Não sabe nada da vida . É todo.mundo fica dando corda ao discurso politicamente correto . Deixa ela passar um tempo na Amazônia pra ela ver o que é bom . O povo tem que entender que a natureza é soberana e cíclica . O homem só muda o seu nicho e não todo o planeta .,offensive,1
"É incrível ! Só se elegeu por causa do Bolsonaro e agora fica aí de mimimi .. E na boa , o presidente tem toda razão ! !",offensive,1
Projeto para ter um desses em cada cidade Brasileira .. ai sim o futuro estara garantido ..,neutral,0
Tem ter punição a essa grande falta de respeito .,neutral,0
"Eu acho bem feito , agora apaude e faz :dorso_da_mão_com_dedo_indicador_apontando_para_a_direita:",neutral,0
A esquerda . E o Dep Kim kataguiri usado como boi de piranha . Fim do mundo . CENSURA TOTAL . ESTE CONGRESSO tem que responder .,hateSpeech,2
Lugar de ladrão é na cadeia Lula bandido,offensive,1
A bolsa ontem desabou ... Vai dar ruim pra Argentina d novo,neutral,0
Kkkkkkkkkkkkkkkkkkkkkkkkkkk Pepinhaaaa,hateSpeech,2
"A gente tem que enforcar esse marginal em praça pública para que sirva de exemplo aos seus seguidores , esse sujeito além de marginal é terrorista ! ! !",hateSpeech,2
Eu tenho pena é de você não ter sido da época do grande General Pinochet que lamentavelmente deixou sobrar este resquício de desgraça .,hateSpeech,2
"Gente , num aguento mais as palhaçadas desse cara . E ainda tem gente que acha que ele é apenas engraçado . Ridículo . Vergonhoso",offensive,1
Este povo do PT são uns FDP ..,hateSpeech,2
Parabéns Presidente :mãos_para_cima: :mãos_para_cima: 🇧 🇷,neutral,0
CHEGA DE TANTA CORRUPÇÃO TANTA ROUBALHEIRA TANTA INCOMPETÊNCIA TANTA MALDADE TANTA FALSIDADE,offensive,1
@USER Professor com o cabelo mais curto ... :marca_de_beijo:,neutral,0
Pirralha socialistas de iPhone :rosto_aborrecido:,hateSpeech,2
Demais .,neutral,0
"Concordo ... boca fechada não entra mosquito ... sabemos a verdade , mas na maioria das vezes precisamos nos manter em silêncio e apenas agir de forma coerente e pensada para não dar motivos para essa esquerda mesquinha hipocrita .",hateSpeech,2
Gente esse cara deve envergonhar até o Satanás .,offensive,1
Ela arrasaaaaaaaaa :rosto_com_olhar_maravilhado: :rosto_com_olhar_maravilhado:,neutral,0
"Falso Cristão , nenhuma novidade , com sua dentadura da vaidade ...",hateSpeech,2
Ainda bem q nos livramos disso :mãos_juntas: :mãos_juntas:,offensive,1
Mostre o seu trabalho e esforço e seja leal ao povo que te elegeu e larga essa TRAIDORA pra lá com as baixarias dela .,offensive,1
E aí os corruptos pegam carona não é ?,neutral,0
Lindo demais,neutral,0
Lula livre povo na rua a favor de uma sociedade justa estamos com Lula .,neutral,0
Muito Irresponsável ! !,neutral,0
Essa entrevista aqui é que vale a pena kkk @USER,neutral,0
Quem votou nesta pérola deve estar felizzzzzz :mãos_aplaudindo: :mãos_aplaudindo: :mãos_aplaudindo:,neutral,0
Muito obrigada vs Experiência a senhora é a minha voz .,neutral,0
"Nunca vai ser , nunca será presidente do nosso país . Vai se acostumando pq daqui uns dias não será eleito nem a presidente do grémio . :rosto_beijando_com_olhos_fechados:",offensive,1
Vagabundo .,offensive,1
Pastor bandido,offensive,1
"Mas , o que esperar de um congresso quase todo CORROMPIDO ? Um reino , uma associação , cooperativa , Senado Federal , Suprema Corte ou até mesmo a Câmara Federal , jamais subsistirá se não estiverem focados no mesmo objetivo ( se protege ) , limitando , diminuindo a interação da sociedade brasileira , em assuntos pertinentes à mesma .",offensive,1
Que saudade do regime militar,hateSpeech,2
"Por que , queridinha ? :rosto_de_palhaço: :rosto_de_palhaço: :rosto_de_palhaço:",neutral,0
@USER óia que perfeição,neutral,0
"Eu acho que o comenta do preside está correto , ele a chamou de pirralha no sentido do assunto ter recebido a atenção da mídia nacional , porém o brasileiro e tão idiota que estão dando a este assunto , até eu mesmo fazendo este comentário , uma importância tão grande que está atrapalhando o Brasil la fora , mais que o próprio comentário !",offensive,1
A fala de quem quer que seja da direita não faz diferença . Os esquerdopatas sempre arranjam argumentos espúrios para denegrir .,hateSpeech,2
:mãos_aplaudindo: :mãos_aplaudindo: Emocionante !,neutral,0
"Aiii por favor , ela é uma pirralha mesmo ...",offensive,1
"Cabe ao pai encerrar esse assunto , mas parece que ele gosta",neutral,0
Esquerdista .,hateSpeech,2
"Esses traíras , só pendurando pelas bolas e deixar lá , até encostar no chão ... :pessoa_decepcionada: ‍ :símbolo_de_masculino:",offensive,1
Vagabunda ! Sem vergonha !,hateSpeech,2
"tem gente que acha normal , este velho virou um pedofilo na tv aberta , e tem gente que acha engraçado",offensive,1
Cambada de comunistas nojentos,hateSpeech,2
"Cala a boca , Magda ! ! !",hateSpeech,2
"Isso vai ser para todos os partidos ou só para o partido do presidente ? ? ? E qual vai ser o critério para isso , e quem cai julgar , porque vi o pt fazer muitos faknews e ninguém fez nada ! O próprio candidato do pt às vésperas das eleições aprontou .",hateSpeech,2
Que ridículo,offensive,1
Desejo Boa sorte :coração_brilhante:,neutral,0
Isso é uma putaria !,offensive,1
Temos que sair desses espaços e ir para a rua mobilizar o povo todo . Acho um erro do campo progressista e das esquerdas ficarem só na conversa . Tem que partir para o ataque .,neutral,0
Que baita dupla ! ! :rosto_sorridente_com_olhos_de_coração: :rosto_sorridente_com_olhos_de_coração:,neutral,0
Quem é essa moçoila . Fez o que mesmo é porque mesmo ? Existe tanta gente boa e que faz tanto ato de herói como um bombeiro outra pessoa mais essa menina só fez oque mesmo ?,offensive,1
Essa culpa eu n carrego :rosto_risonho_com_olhos_sorridentes: :rosto_risonho_com_olhos_sorridentes: :rosto_risonho_com_olhos_sorridentes:,neutral,0
Por isso que a educação está uma completa negação ... Parabéns aos envolvidos,offensive,1
Carta capital é super esquerdista comunista do mal.Somos todos Damares ! ! !,hateSpeech,2
:coração_vermelho: lindos !,neutral,0
Essa disgraça fala que é pastor ..,hateSpeech,2
"Parabéns professor , sucessos",neutral,0
Silvio Santos é a cara do senhor do engenho,offensive,1
Pq é uma safada,hateSpeech,2
Aos funcionários que votaram nesse trem descarrilhado pra agradar os patrões se ferraram .,neutral,0
Faz um programa com o Lula . Sugestão para o nome : Sol Quadrado .,offensive,1
"Mas se há uma grande parte que mata vai se calar ? A crítica é aos PMs criminosos e a justiça faz vistas grossas p crimes da instituição , Alexandre de Moraes que o diga .",neutral,0
Sim porque ? ? ? É muita hipocrisia . E a propina ...,offensive,1
Ele deixou claro quais Valores carrega .,neutral,0
Viva Argentina :rosto_sorridente_com_olhos_de_coração:,neutral,0
"A Argentina ta cheia de brasileiros fazendo faculdade de graça , e um ensino de qualidade . Eu moro na Argentina e a educação aqui é super humanizada . Meus filhos estudam aqui , e amam a escola . No Brasil essa competição e obrigação de ter que fazer um vestibular para ter acesso a universidade é ridiculo e as escolas privadas querem nome em cima dos alunos .",neutral,0
bozo pesadelo do pobre TRABALHADOR ! @USER ! !,hateSpeech,2
Dessa vez concordo com vc,neutral,0
COMUNISTA FDP,hateSpeech,2
Todos sem vergonha cupado e o povo que ELEGERÃO,offensive,1
Toma lixo esquerdalha !,hateSpeech,2
Vai ser demais ! ! ! Amo os comentários dele ... sabe tudooo ! !,neutral,0
Coisa linda ! ! !,neutral,0
Parabéns grande professor ! :rosa:,neutral,0
É típico dessa gente a cara de pau ! ! ! :rosto_nauseado:,offensive,1
"Povo deveria resistir mesmo , fazer igual Chile botar fogo no luladrão STF na corrupção seria ótimo começando por eles que é patrimônio de bosta ! :rosto_chorando_de_rir: :rosto_chorando_de_rir: :rosto_chorando_de_rir: :rosto_sorridente_com_óculos_escuros: :rosto_sorridente_com_óculos_escuros: 🇧 🇷 ele.quer joga ele na Paulista",hateSpeech,2
Glória a Deus :mãos_aplaudindo: :mãos_aplaudindo: :mãos_aplaudindo:,neutral,0
Deje el ego que usted no es más que el Amazonas reciba la plata que usted no es nada el Amazonas es algo,offensive,1
Esse Sílvio santos é um VERME . U criminoso . Onde estava a VACA da Damares protetora da família . Essa pilantra não defende família coisa nenhuma .,hateSpeech,2
Ou quando o Brasil estava sendo saqueado pelo PT ? ?,hateSpeech,2
"Que vergonha meu DEUS . A p , a falta de respeito vem de grande parte de péssimos que se dizem representantes do povo . Onde chegaremos , :mãos_juntas:",neutral,0
"Os eleitores dessa corja deveriam se envergonhar pois torcem contra o próprio país estamos no mesmo barco mas a esquerda é ignorante demais para verem isso , por favor nas próximas eleições não reeleja quem não quer o crescimento do próprio país ! ! ! 🇧 🇷 :mãos_para_cima:",hateSpeech,2
Triste episódio às vésperas do Dia da Consciência Negra . Racistas não passarão :mãos_para_cima:,neutral,0
@USER . zambelli por que você não se desliga do PSL já que os ânimos estão a flor da pele por lá,neutral,0
"PORQUE É PORCA DO MESMO LODO ,",hateSpeech,2
Não consigo intender a força que estes demônios tem . Tá na hora de botar estes lixos pra fora,offensive,1
Deus prometeu o crescimento do nosso país e está se cumprindo essa promessa :mãos_para_cima: GRAÇAS AO NOSSO DEUS QUE COLOCOU VCS PARA GOVERNAR O BRASIL @USER :mãos_aplaudindo: :pele_clara: :mãos_aplaudindo: :pele_clara:,neutral,0
Imagine se esse sujeito não fosse cristão evangélico ?,hateSpeech,2
"SENSACIONAL É BEM PÔR AI MESMOOO , ELE ESTÁ PREOCUPADO PORQUÊ SERA , QUEM Ñ DEVE Ñ TEME , SIMPLES ASSIM ! ! !",neutral,0
Lula já era um pinguço CORRUPTO . Criminoso condenado .,offensive,1
Isso tudo é falta de gente boa pra ser a personagem do ano ou mais uma manifestação do mau gosto esquerdista ... ?,hateSpeech,2
Aleluia irmão : s,neutral,0
#foracomunismosocialismo :rosto_com_símbolos_na_boca: :rosto_zangado: :rosto_furioso: :soco: :soco: :soco:,hateSpeech,2
"Quanta besteira . Ele nem falou nada demais e os safados já se aproveitam . Sen do PT fez ameaças ao Brasil no Twitter e não vimos vc Joice e nem essa Janaína rebatendo o mesmo . Agora querem calar um dep fed , é ? Vcs já cansaram ..",hateSpeech,2
"Sensacional ! Aproveito para perguntar como anda o projeto de criminalização do comunismo , pois não aguento mais ver e escutar essa gentalha , adoraria vê-los enjaulados .",hateSpeech,2
"A Visão do Inferno , a besta e a bestinha :rosto_chorando_de_rir: :rosto_chorando_de_rir:",offensive,1
"Gente quantas maldades , essa história de que daqui a 10 anos o Brasil será melhor , é absurda , até quando os bolsominions , continuarão com o manterá a culpa é do PT , até quando essa lobotomia fará efeito , com uma receita de bilhões , deixada nos cofres e essa praga fascista usurpando , vendendo tudo e prejudicando somente os menos favorecidos , em favor de empresários e grandes fortunas ?",hateSpeech,2
